#x y_true y_numerov
4.9629 4.44987e-05 4.44987e-05 
4.9628 4.45199e-05 4.45199e-05 
4.9627 4.45411e-05 4.45411e-05 
4.9626 4.45623e-05 4.45623e-05 
4.9625 4.45835e-05 4.45835e-05 
4.9624 4.46047e-05 4.46047e-05 
4.9623 4.4626e-05 4.4626e-05 
4.9622 4.46472e-05 4.46472e-05 
4.9621 4.46685e-05 4.46685e-05 
4.962 4.46898e-05 4.46898e-05 
4.9619 4.4711e-05 4.4711e-05 
4.9618 4.47323e-05 4.47323e-05 
4.9617 4.47536e-05 4.47536e-05 
4.9616 4.47749e-05 4.47749e-05 
4.9615 4.47963e-05 4.47963e-05 
4.9614 4.48176e-05 4.48176e-05 
4.9613 4.48389e-05 4.48389e-05 
4.9612 4.48603e-05 4.48603e-05 
4.9611 4.48816e-05 4.48816e-05 
4.961 4.4903e-05 4.4903e-05 
4.9609 4.49244e-05 4.49244e-05 
4.9608 4.49458e-05 4.49458e-05 
4.9607 4.49672e-05 4.49672e-05 
4.9606 4.49886e-05 4.49886e-05 
4.9605 4.501e-05 4.501e-05 
4.9604 4.50314e-05 4.50314e-05 
4.9603 4.50528e-05 4.50528e-05 
4.9602 4.50743e-05 4.50743e-05 
4.9601 4.50957e-05 4.50957e-05 
4.96 4.51172e-05 4.51172e-05 
4.9599 4.51387e-05 4.51387e-05 
4.9598 4.51602e-05 4.51602e-05 
4.9597 4.51816e-05 4.51816e-05 
4.9596 4.52031e-05 4.52031e-05 
4.9595 4.52247e-05 4.52247e-05 
4.9594 4.52462e-05 4.52462e-05 
4.9593 4.52677e-05 4.52677e-05 
4.9592 4.52893e-05 4.52893e-05 
4.9591 4.53108e-05 4.53108e-05 
4.959 4.53324e-05 4.53324e-05 
4.9589 4.53539e-05 4.53539e-05 
4.9588 4.53755e-05 4.53755e-05 
4.9587 4.53971e-05 4.53971e-05 
4.9586 4.54187e-05 4.54187e-05 
4.9585 4.54403e-05 4.54403e-05 
4.9584 4.54619e-05 4.54619e-05 
4.9583 4.54836e-05 4.54836e-05 
4.9582 4.55052e-05 4.55052e-05 
4.9581 4.55269e-05 4.55269e-05 
4.958 4.55485e-05 4.55485e-05 
4.9579 4.55702e-05 4.55702e-05 
4.9578 4.55919e-05 4.55919e-05 
4.9577 4.56136e-05 4.56136e-05 
4.9576 4.56353e-05 4.56353e-05 
4.9575 4.5657e-05 4.5657e-05 
4.9574 4.56787e-05 4.56787e-05 
4.9573 4.57004e-05 4.57004e-05 
4.9572 4.57222e-05 4.57222e-05 
4.9571 4.57439e-05 4.57439e-05 
4.957 4.57657e-05 4.57657e-05 
4.9569 4.57874e-05 4.57874e-05 
4.9568 4.58092e-05 4.58092e-05 
4.9567 4.5831e-05 4.5831e-05 
4.9566 4.58528e-05 4.58528e-05 
4.9565 4.58746e-05 4.58746e-05 
4.9564 4.58964e-05 4.58964e-05 
4.9563 4.59182e-05 4.59182e-05 
4.9562 4.59401e-05 4.59401e-05 
4.9561 4.59619e-05 4.59619e-05 
4.956 4.59838e-05 4.59838e-05 
4.9559 4.60056e-05 4.60056e-05 
4.9558 4.60275e-05 4.60275e-05 
4.9557 4.60494e-05 4.60494e-05 
4.9556 4.60713e-05 4.60713e-05 
4.9555 4.60932e-05 4.60932e-05 
4.9554 4.61151e-05 4.61151e-05 
4.9553 4.61371e-05 4.61371e-05 
4.9552 4.6159e-05 4.6159e-05 
4.9551 4.61809e-05 4.61809e-05 
4.955 4.62029e-05 4.62029e-05 
4.9549 4.62249e-05 4.62249e-05 
4.9548 4.62468e-05 4.62468e-05 
4.9547 4.62688e-05 4.62688e-05 
4.9546 4.62908e-05 4.62908e-05 
4.9545 4.63128e-05 4.63128e-05 
4.9544 4.63348e-05 4.63348e-05 
4.9543 4.63569e-05 4.63569e-05 
4.9542 4.63789e-05 4.63789e-05 
4.9541 4.64009e-05 4.64009e-05 
4.954 4.6423e-05 4.6423e-05 
4.9539 4.64451e-05 4.64451e-05 
4.9538 4.64671e-05 4.64671e-05 
4.9537 4.64892e-05 4.64892e-05 
4.9536 4.65113e-05 4.65113e-05 
4.9535 4.65334e-05 4.65334e-05 
4.9534 4.65555e-05 4.65555e-05 
4.9533 4.65777e-05 4.65777e-05 
4.9532 4.65998e-05 4.65998e-05 
4.9531 4.6622e-05 4.6622e-05 
4.953 4.66441e-05 4.66441e-05 
4.9529 4.66663e-05 4.66663e-05 
4.9528 4.66885e-05 4.66885e-05 
4.9527 4.67106e-05 4.67106e-05 
4.9526 4.67328e-05 4.67328e-05 
4.9525 4.6755e-05 4.6755e-05 
4.9524 4.67773e-05 4.67773e-05 
4.9523 4.67995e-05 4.67995e-05 
4.9522 4.68217e-05 4.68217e-05 
4.9521 4.6844e-05 4.6844e-05 
4.952 4.68662e-05 4.68662e-05 
4.9519 4.68885e-05 4.68885e-05 
4.9518 4.69108e-05 4.69108e-05 
4.9517 4.69331e-05 4.69331e-05 
4.9516 4.69554e-05 4.69554e-05 
4.9515 4.69777e-05 4.69777e-05 
4.9514 4.7e-05 4.7e-05 
4.9513 4.70223e-05 4.70223e-05 
4.9512 4.70446e-05 4.70446e-05 
4.9511 4.7067e-05 4.7067e-05 
4.951 4.70893e-05 4.70893e-05 
4.9509 4.71117e-05 4.71117e-05 
4.9508 4.71341e-05 4.71341e-05 
4.9507 4.71565e-05 4.71565e-05 
4.9506 4.71789e-05 4.71789e-05 
4.9505 4.72013e-05 4.72013e-05 
4.9504 4.72237e-05 4.72237e-05 
4.9503 4.72461e-05 4.72461e-05 
4.9502 4.72686e-05 4.72686e-05 
4.9501 4.7291e-05 4.7291e-05 
4.95 4.73135e-05 4.73135e-05 
4.9499 4.7336e-05 4.7336e-05 
4.9498 4.73584e-05 4.73584e-05 
4.9497 4.73809e-05 4.73809e-05 
4.9496 4.74034e-05 4.74034e-05 
4.9495 4.74259e-05 4.74259e-05 
4.9494 4.74485e-05 4.74485e-05 
4.9493 4.7471e-05 4.7471e-05 
4.9492 4.74935e-05 4.74935e-05 
4.9491 4.75161e-05 4.75161e-05 
4.949 4.75386e-05 4.75386e-05 
4.9489 4.75612e-05 4.75612e-05 
4.9488 4.75838e-05 4.75838e-05 
