#E sigma_tot
0.521076 35.9824
0.521692 35.9641
0.522307 35.9458
0.522922 35.9276
0.523537 35.9094
0.524153 35.8912
0.524768 35.8731
0.525383 35.855
0.525998 35.837
0.526614 35.819
0.527229 35.801
0.527844 35.783
0.528459 35.7651
0.529075 35.7473
0.52969 35.7295
0.530305 35.7117
0.53092 35.694
0.531536 35.6764
0.532151 35.6568
0.532766 35.6393
0.533381 35.6218
0.533997 35.6044
0.534612 35.587
0.535227 35.5697
0.535842 35.5524
0.536458 35.5352
0.537073 35.5181
0.537688 35.501
0.538303 35.484
0.538919 35.4656
0.539534 35.4487
0.540149 35.4319
0.540764 35.4151
0.54138 35.3984
0.541995 35.3818
0.54261 35.3652
0.543225 35.3487
0.543841 35.3312
0.544456 35.3149
0.545071 35.2986
0.545686 35.2823
0.546302 35.2662
0.546917 35.25
0.547532 35.2333
0.548147 35.2174
0.548763 35.2015
0.549378 35.1857
0.549993 35.1699
0.550608 35.1538
0.551224 35.1382
0.551839 35.1227
0.552454 35.1073
0.553069 35.0919
0.553685 35.0764
0.5543 35.0611
0.554915 35.046
0.555531 35.0309
0.556146 35.0158
0.556761 35.0009
0.557376 34.9861
0.557992 34.9712
0.558607 34.9565
0.559222 34.9421
0.559837 34.9275
0.560453 34.913
0.561068 34.8989
0.561683 34.8846
0.562298 34.8703
0.562914 34.8561
0.563529 34.8424
0.564144 34.8284
0.564759 34.8144
0.565375 34.8005
0.56599 34.7873
0.566605 34.7735
0.56722 34.7599
0.567836 34.747
0.568451 34.7334
0.569066 34.72
0.569681 34.7074
0.570297 34.6941
0.570912 34.6809
0.571527 34.6686
0.572142 34.6555
0.572758 34.6426
0.573373 34.6305
0.573988 34.6177
0.574603 34.605
0.575219 34.5932
0.575834 34.5806
0.576449 34.5681
0.577064 34.5566
0.57768 34.5443
0.578295 34.5329
0.57891 34.5207
0.579525 34.5086
0.580141 34.4976
0.580756 34.4856
0.581371 34.4737
0.581986 34.4629
0.582602 34.4511
0.583217 34.4405
0.583832 34.4289
0.584447 34.4174
0.585063 34.4069
0.585678 34.3956
0.586293 34.3853
0.586908 34.3741
0.587524 34.3639
0.588139 34.3529
0.588754 34.342
0.589369 34.332
0.589985 34.3212
0.5906 34.3114
0.591215 34.3007
0.591831 34.291
0.592446 34.2805
0.593061 34.2709
0.593676 34.2606
0.594292 34.2511
0.594907 34.241
0.595522 34.2316
0.596137 34.2216
0.596753 34.2123
0.597368 34.2025
0.597983 34.1928
0.598598 34.1836
0.599214 34.1741
0.599829 34.165
0.600444 34.156
0.601059 34.1467
0.601675 34.1377
0.60229 34.1286
0.602905 34.1197
0.60352 34.1107
0.604136 34.102
0.604751 34.0931
0.605366 34.0845
0.605981 34.0758
0.606597 34.0672
0.607212 34.0587
0.607827 34.0502
0.608442 34.0418
0.609058 34.0334
0.609673 34.025
0.610288 34.0168
0.610903 34.0085
0.611519 34.0005
0.612134 33.9923
0.612749 33.9844
0.613364 33.9763
0.61398 33.9681
0.614595 33.9605
0.61521 33.9524
0.615825 33.9449
0.616441 33.9369
0.617056 33.9288
0.617671 33.9216
0.618286 33.9136
0.618902 33.9065
0.619517 33.8986
