#E y_xmax_even y_xmax_odd
4.18919 89.0133 57.6947 
4.19695 86.2601 57.5408 
4.2047 83.5337 57.377 
4.21246 80.8341 57.2037 
4.22022 78.1614 57.021 
4.22798 75.5158 56.8291 
4.23574 72.8972 56.6283 
4.24349 70.3058 56.4187 
4.25125 67.7417 56.2006 
4.25901 65.2047 55.9741 
4.26677 62.6952 55.7396 
4.27452 60.2129 55.4971 
4.28228 57.7581 55.2468 
4.29004 55.3306 54.9891 
4.2978 52.9307 54.724 
4.30556 50.5581 54.4517 
4.31331 48.2131 54.1725 
4.32107 45.8956 53.8864 
4.32883 43.6055 53.5938 
4.33659 41.3429 53.2948 
4.34434 39.1078 52.9896 
4.3521 36.9001 52.6783 
4.35986 34.7199 52.3611 
4.36762 32.5672 52.0382 
4.37538 30.4418 51.7098 
4.38313 28.3437 51.376 
4.39089 26.273 51.037 
4.39865 24.2296 50.693 
4.40641 22.2133 50.3441 
4.41416 20.2243 49.9905 
4.42192 18.2624 49.6323 
4.42968 16.3276 49.2698 
4.43744 14.4197 48.903 
4.4452 12.5389 48.5321 
4.45295 10.6848 48.1573 
4.46071 8.85758 47.7787 
4.46847 7.05705 47.3965 
4.47623 5.28314 47.0107 
4.48398 3.53578 46.6217 
4.49174 1.81487 46.2294 
4.4995 0.120322 45.834 
4.50726 -1.54797 45.4357 
4.51502 -3.19009 45.0345 
4.52277 -4.80616 44.6307 
4.53053 -6.39627 44.2244 
4.53829 -7.96054 43.8157 
4.54605 -9.49908 43.4046 
4.5538 -11.012 42.9914 
4.56156 -12.4994 42.5762 
4.56932 -13.9615 42.159 
4.57708 -15.3983 41.7401 
4.58483 -16.8099 41.3194 
4.59259 -18.1966 40.8972 
4.60035 -19.5584 40.4736 
4.60811 -20.8955 40.0486 
4.61587 -22.2079 39.6224 
4.62362 -23.4959 39.195 
4.63138 -24.7596 38.7667 
4.63914 -25.9992 38.3374 
4.6469 -27.2146 37.9074 
4.65465 -28.4062 37.4766 
4.66241 -29.5741 37.0452 
4.67017 -30.7184 36.6133 
4.67793 -31.8392 36.1811 
4.68569 -32.9368 35.7484 
4.69344 -34.0113 35.3156 
4.7012 -35.0628 34.8827 
4.70896 -36.0915 34.4497 
4.71672 -37.0975 34.0167 
4.72447 -38.0811 33.5839 
4.73223 -39.0424 33.1513 
4.73999 -39.9815 32.719 
4.74775 -40.8987 32.2871 
4.75551 -41.794 31.8556 
4.76326 -42.6677 31.4247 
4.77102 -43.5199 30.9944 
4.77878 -44.3508 30.5648 
4.78654 -45.1606 30.136 
4.79429 -45.9495 29.708 
4.80205 -46.7175 29.2809 
4.80981 -47.465 28.8548 
4.81757 -48.1921 28.4298 
4.82533 -48.8989 28.0059 
4.83308 -49.5856 27.5831 
4.84084 -50.2525 27.1616 
4.8486 -50.8997 26.7415 
4.85636 -51.5273 26.3227 
4.86411 -52.1356 25.9053 
4.87187 -52.7248 25.4894 
4.87963 -53.2949 25.0751 
4.88739 -53.8463 24.6624 
4.89515 -54.3791 24.2513 
4.9029 -54.8934 23.8419 
4.91066 -55.3895 23.4343 
4.91842 -55.8676 23.0286 
4.92618 -56.3278 22.6247 
4.93393 -56.7703 22.2227 
4.94169 -57.1953 21.8226 
4.94945 -57.603 21.4246 
4.95721 -57.9936 21.0286 
4.96496 -58.3672 20.6348 
4.97272 -58.7241 20.243 
4.98048 -59.0645 19.8535 
4.98824 -59.3884 19.4661 
4.996 -59.6962 19.081 
5.00375 -59.988 18.6983 
5.01151 -60.2639 18.3178 
5.01927 -60.5242 17.9397 
5.02703 -60.7691 17.5641 
5.03478 -60.9988 17.1908 
5.04254 -61.2133 16.8201 
5.0503 -61.413 16.4518 
5.05806 -61.598 16.0861 
5.06582 -61.7685 15.7229 
5.07357 -61.9246 15.3623 
5.08133 -62.0666 15.0044 
5.08909 -62.1947 14.6491 
5.09685 -62.309 14.2964 
5.1046 -62.4097 13.9465 
5.11236 -62.497 13.5993 
5.12012 -62.571 13.2548 
5.12788 -62.6321 12.9131 
5.13564 -62.6802 12.5741 
5.14339 -62.7157 12.238 
5.15115 -62.7387 11.9047 
5.15891 -62.7494 11.5742 
5.16667 -62.748 11.2467 
5.17442 -62.7346 10.9219 
5.18218 -62.7094 10.6001 
5.18994 -62.6727 10.2812 
5.1977 -62.6245 9.96521 
5.20546 -62.565 9.65216 
5.21321 -62.4945 9.34206 
5.22097 -62.4131 9.03492 
5.22873 -62.321 8.73076 
5.23649 -62.2183 8.42957 
5.24424 -62.1053 8.13138 
5.252 -61.982 7.8362 
5.25976 -61.8488 7.54402 
5.26752 -61.7056 7.25487 
5.27528 -61.5528 6.96874 
5.28303 -61.3905 6.68564 
5.29079 -61.2188 6.40558 
5.29855 -61.0379 6.12856 
5.30631 -60.848 5.85458 
5.31406 -60.6492 5.58366 
5.32182 -60.4418 5.3158 
5.32958 -60.2258 5.05098 
5.33734 -60.0015 4.78923 
5.3451 -59.7689 4.53054 
5.35285 -59.5283 4.2749 
5.36061 -59.2799 4.02233 
5.36837 -59.0237 3.77281 
5.37613 -58.7599 3.52636 
5.38388 -58.4887 3.28296 
5.39164 -58.2103 3.04261 
5.3994 -57.9247 2.80532 
5.40716 -57.6322 2.57107 
5.41491 -57.3329 2.33988 
5.42267 -57.027 2.11172 
5.43043 -56.7145 1.8866 
5.43819 -56.3957 1.66451 
5.44595 -56.0708 1.44544 
5.4537 -55.7397 1.2294 
5.46146 -55.4028 1.01637 
5.46922 -55.06 0.806347 
5.47698 -54.7117 0.599322 
5.48473 -54.3579 0.395288 
5.49249 -53.9987 0.194237 
5.50025 -53.6344 -0.00383967 
5.50801 -53.2649 -0.198951 
5.51577 -52.8906 -0.391106 
5.52352 -52.5115 -0.580315 
5.53128 -52.1277 -0.766589 
5.53904 -51.7394 -0.949937 
5.5468 -51.3467 -1.13037 
5.55455 -50.9498 -1.3079 
5.56231 -50.5487 -1.48254 
5.57007 -50.1437 -1.6543 
5.57783 -49.7348 -1.82319 
5.58559 -49.3221 -1.98923 
5.59334 -48.9058 -2.15242 
5.6011 -48.4861 -2.31279 
5.60886 -48.063 -2.47034 
5.61662 -47.6366 -2.62509 
5.62437 -47.2071 -2.77705 
5.63213 -46.7746 -2.92624 
5.63989 -46.3393 -3.07267 
5.64765 -45.9011 -3.21636 
5.65541 -45.4603 -3.35732 
5.66316 -45.017 -3.49556 
5.67092 -44.5712 -3.63111 
5.67868 -44.1232 -3.76398 
5.68644 -43.6729 -3.89418 
5.69419 -43.2206 -4.02173 
5.70195 -42.7662 -4.14665 
5.70971 -42.31 -4.26896 
5.71747 -41.8521 -4.38866 
5.72523 -41.3924 -4.50578 
5.73298 -40.9312 -4.62034 
5.74074 -40.4686 -4.73236 
5.7485 -40.0046 -4.84184 
5.75626 -39.5393 -4.94881 
5.76401 -39.0729 -5.05329 
5.77177 -38.6054 -5.15529 
5.77953 -38.137 -5.25483 
5.78729 -37.6677 -5.35194 
5.79505 -37.1976 -5.44663 
5.8028 -36.7268 -5.53892 
5.81056 -36.2555 -5.62882 
5.81832 -35.7837 -5.71636 
5.82608 -35.3114 -5.80156 
5.83383 -34.8389 -5.88443 
5.84159 -34.3661 -5.965 
5.84935 -33.8931 -6.04328 
5.85711 -33.4201 -6.11929 
5.86486 -32.9471 -6.19306 
5.87262 -32.4743 -6.2646 
5.88038 -32.0016 -6.33394 
5.88814 -31.5292 -6.40109 
5.8959 -31.0571 -6.46607 
5.90365 -30.5854 -6.5289 
5.91141 -30.1143 -6.58961 
5.91917 -29.6437 -6.64821 
5.92693 -29.1737 -6.70472 
5.93468 -28.7045 -6.75917 
5.94244 -28.2361 -6.81157 
5.9502 -27.7685 -6.86195 
5.95796 -27.3019 -6.91032 
5.96572 -26.8363 -6.95671 
5.97347 -26.3717 -7.00114 
5.98123 -25.9083 -7.04362 
5.98899 -25.4461 -7.08418 
5.99675 -24.9851 -7.12283 
6.0045 -24.5255 -7.15961 
6.01226 -24.0673 -7.19453 
6.02002 -23.6105 -7.2276 
6.02778 -23.1552 -7.25886 
6.03554 -22.7015 -7.28832 
6.04329 -22.2494 -7.316 
6.05105 -21.799 -7.34192 
6.05881 -21.3504 -7.36611 
6.06657 -20.9035 -7.38858 
6.07432 -20.4585 -7.40935 
6.08208 -20.0154 -7.42845 
6.08984 -19.5742 -7.4459 
6.0976 -19.1351 -7.46171 
6.10536 -18.698 -7.47591 
6.11311 -18.263 -7.48852 
6.12087 -17.8301 -7.49956 
6.12863 -17.3994 -7.50904 
6.13639 -16.971 -7.51699 
6.14414 -16.5449 -7.52344 
6.1519 -16.1211 -7.52839 
6.15966 -15.6996 -7.53187 
6.16742 -15.2806 -7.5339 
6.17518 -14.864 -7.53451 
6.18293 -14.4499 -7.5337 
6.19069 -14.0383 -7.5315 
6.19845 -13.6294 -7.52794 
6.20621 -13.223 -7.52302 
6.21396 -12.8192 -7.51678 
6.22172 -12.4182 -7.50923 
6.22948 -12.0198 -7.50038 
6.23724 -11.6242 -7.49027 
6.24499 -11.2313 -7.4789 
6.25275 -10.8413 -7.46631 
6.26051 -10.4541 -7.4525 
6.26827 -10.0698 -7.4375 
6.27603 -9.68834 -7.42133 
6.28378 -9.30983 -7.404 
6.29154 -8.93427 -7.38554 
6.2993 -8.56169 -7.36596 
6.30706 -8.19211 -7.34529 
6.31481 -7.82557 -7.32354 
6.32257 -7.46207 -7.30073 
6.33033 -7.10165 -7.27688 
6.33809 -6.74432 -7.25201 
6.34585 -6.39011 -7.22614 
6.3536 -6.03905 -7.19928 
6.36136 -5.69114 -7.17145 
6.36912 -5.34641 -7.14268 
6.37688 -5.00487 -7.11298 
6.38463 -4.66655 -7.08236 
6.39239 -4.33147 -7.05085 
6.40015 -3.99963 -7.01847 
6.40791 -3.67105 -6.98522 
6.41567 -3.34575 -6.95114 
6.42342 -3.02374 -6.91623 
6.43118 -2.70503 -6.88051 
6.43894 -2.38964 -6.84401 
6.4467 -2.07758 -6.80673 
6.45445 -1.76886 -6.7687 
6.46221 -1.46349 -6.72993 
6.46997 -1.16148 -6.69044 
6.47773 -0.862845 -6.65024 
6.48549 -0.567583 -6.60936 
6.49324 -0.275708 -6.5678 
6.501 0.0127752 -6.52559 
6.50876 0.297858 -6.48274 
6.51652 0.579536 -6.43927 
6.52427 0.857803 -6.39519 
6.53203 1.13265 -6.35052 
6.53979 1.40409 -6.30527 
6.54755 1.6721 -6.25947 
6.55531 1.93668 -6.21312 
6.56306 2.19783 -6.16623 
6.57082 2.45556 -6.11884 
6.57858 2.70985 -6.07095 
